session_idx,n_known,n_truth,prec@5_popularity,rec@5_popularity,prec@5_partial_cf,rec@5_partial_cf,prec@5_content_only,rec@5_content_only,prec@5_mixed,rec@5_mixed
767,1,6,0.2,0.16666666666666666,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
1043,1,7,0.0,0.0,0.2,0.14285714285714285,0.0,0.0,0.2,0.14285714285714285
711,1,6,0.0,0.0,0.4,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0
342,1,4,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
306,1,6,0.0,0.0,0.2,0.16666666666666666,0.2,0.16666666666666666,0.0,0.0
771,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5
466,1,9,0.4,0.2222222222222222,0.2,0.1111111111111111,0.2,0.1111111111111111,0.2,0.1111111111111111
661,1,10,0.4,0.2,0.0,0.0,0.4,0.2,0.6,0.3
885,1,5,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
400,1,4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0
915,1,9,0.4,0.2222222222222222,0.4,0.2222222222222222,0.4,0.2222222222222222,0.6,0.3333333333333333
308,1,10,0.2,0.1,0.6,0.3,0.2,0.1,0.2,0.1
181,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,1,9,0.4,0.2222222222222222,0.8,0.4444444444444444,0.2,0.1111111111111111,0.2,0.1111111111111111
404,1,13,0.2,0.07692307692307693,0.6,0.23076923076923078,0.6,0.23076923076923078,0.2,0.07692307692307693
25,1,10,0.2,0.1,0.2,0.1,0.0,0.0,0.2,0.1
1075,1,4,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
1039,1,4,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
160,1,6,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.16666666666666666
449,1,11,0.2,0.09090909090909091,0.4,0.18181818181818182,0.4,0.18181818181818182,0.4,0.18181818181818182
508,1,4,0.0,0.0,0.2,0.25,0.2,0.25,0.0,0.0
362,1,6,0.0,0.0,0.6,0.5,0.0,0.0,0.2,0.16666666666666666
1112,1,6,0.2,0.16666666666666666,0.0,0.0,0.2,0.16666666666666666,0.2,0.16666666666666666
899,1,7,0.2,0.14285714285714285,0.4,0.2857142857142857,0.0,0.0,0.2,0.14285714285714285
696,1,9,0.4,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
127,1,10,0.2,0.1,0.6,0.3,0.2,0.1,0.2,0.1
138,1,4,0.2,0.25,0.2,0.25,0.0,0.0,0.2,0.25
934,1,5,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0
21,1,4,0.4,0.5,0.2,0.25,0.0,0.0,0.0,0.0
1097,1,4,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
860,1,17,0.6,0.17647058823529413,0.2,0.058823529411764705,0.6,0.17647058823529413,0.4,0.11764705882352941
226,1,4,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0
1169,1,4,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25
318,1,7,0.2,0.14285714285714285,0.2,0.14285714285714285,0.2,0.14285714285714285,0.2,0.14285714285714285
550,1,10,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1
492,1,5,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.2
279,1,8,0.0,0.0,0.2,0.125,0.2,0.125,0.2,0.125
128,1,7,0.4,0.2857142857142857,0.2,0.14285714285714285,0.2,0.14285714285714285,0.2,0.14285714285714285
723,1,10,0.4,0.2,0.2,0.1,0.4,0.2,0.4,0.2
6,1,6,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666
964,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,1,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.4,0.2222222222222222,0.0,0.0
103,1,16,0.4,0.125,0.8,0.25,0.4,0.125,0.4,0.125
809,1,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.0,0.0,0.0,0.0
595,1,5,0.4,0.4,0.0,0.0,0.4,0.4,0.4,0.4
1124,1,9,0.0,0.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.0
259,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,8,0.2,0.125,0.0,0.0,0.2,0.125,0.2,0.125
547,1,8,0.0,0.0,0.2,0.125,0.2,0.125,0.0,0.0
261,1,9,0.2,0.1111111111111111,0.2,0.1111111111111111,0.0,0.0,0.2,0.1111111111111111
1021,1,8,0.0,0.0,0.0,0.0,0.4,0.25,0.2,0.125
1157,1,8,0.2,0.125,0.4,0.25,0.0,0.0,0.2,0.125
209,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862,1,6,0.2,0.16666666666666666,0.2,0.16666666666666666,0.4,0.3333333333333333,0.2,0.16666666666666666
850,1,9,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1053,1,7,0.0,0.0,0.2,0.14285714285714285,0.2,0.14285714285714285,0.0,0.0
623,1,8,0.0,0.0,0.0,0.0,0.4,0.25,0.2,0.125
361,1,5,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
700,1,13,0.6,0.23076923076923078,0.4,0.15384615384615385,0.2,0.07692307692307693,0.6,0.23076923076923078
1130,1,8,0.2,0.125,0.4,0.25,0.2,0.125,0.2,0.125
831,1,6,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.16666666666666666
50,1,6,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
1064,1,7,0.4,0.2857142857142857,0.2,0.14285714285714285,0.0,0.0,0.4,0.2857142857142857
385,1,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.2,0.1111111111111111,0.2,0.1111111111111111
716,1,5,0.2,0.2,0.0,0.0,0.2,0.2,0.4,0.4
681,1,7,0.4,0.2857142857142857,0.2,0.14285714285714285,0.2,0.14285714285714285,0.0,0.0
397,1,10,0.2,0.1,0.6,0.3,0.2,0.1,0.2,0.1
1060,1,7,0.0,0.0,0.4,0.2857142857142857,0.2,0.14285714285714285,0.0,0.0
439,1,6,0.2,0.16666666666666666,0.6,0.5,0.0,0.0,0.2,0.16666666666666666
1163,1,7,0.4,0.2857142857142857,0.2,0.14285714285714285,0.2,0.14285714285714285,0.2,0.14285714285714285
151,1,7,0.2,0.14285714285714285,0.4,0.2857142857142857,0.2,0.14285714285714285,0.4,0.2857142857142857
352,1,8,0.2,0.125,0.2,0.125,0.2,0.125,0.0,0.0
52,1,7,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
82,1,6,0.2,0.16666666666666666,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
1114,1,10,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
