session_idx,n_known,n_truth,prec@5_popularity,rec@5_popularity,prec@5_partial_cf,rec@5_partial_cf,prec@5_content_only,rec@5_content_only,prec@5_mixed,rec@5_mixed
767,2,5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1043,2,6,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,0.0
711,2,5,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0
342,2,3,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
306,2,5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
771,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,2,8,0.4,0.25,0.0,0.0,0.4,0.25,0.4,0.25
661,2,9,0.4,0.2222222222222222,0.2,0.1111111111111111,0.4,0.2222222222222222,0.6,0.3333333333333333
885,2,4,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0
400,2,3,0.4,0.6666666666666666,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
915,2,8,0.4,0.25,0.0,0.0,0.2,0.125,0.4,0.25
308,2,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.0,0.0,0.2,0.1111111111111111
181,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,2,8,0.4,0.25,0.4,0.25,0.0,0.0,0.2,0.125
404,2,12,0.2,0.08333333333333333,0.8,0.3333333333333333,0.4,0.16666666666666666,0.2,0.08333333333333333
25,2,9,0.2,0.1111111111111111,0.2,0.1111111111111111,0.0,0.0,0.0,0.0
1075,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,2,3,0.0,0.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0
160,2,5,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.2
449,2,10,0.2,0.1,0.2,0.1,0.2,0.1,0.4,0.2
508,2,3,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.0
362,2,5,0.0,0.0,0.6,0.6,0.0,0.0,0.2,0.2
