session_idx,n_train_seen,n_truth,hits@5,top5_product_idx,truth_product_idx,case
15,3,3,2,"47,8,15,31,25","2,15,47",strong
50,5,2,2,"34,38,8,40,3","8,38",strong
51,4,4,2,"13,21,39,10,17","1,10,15,17",strong
268,18,7,2,"27,15,30,45,34","13,20,25,26,27,34,38",strong
289,11,3,2,"9,25,4,6,38","4,38,48",strong
593,3,7,0,"17,34,0,12,13","11,14,19,33,38,42,45",failure
835,4,6,0,"19,13,20,47,0","7,12,37,43,45,49",failure
676,11,6,0,"10,8,15,25,9","22,23,29,34,35,41",failure
131,6,6,0,"20,13,49,47,44","1,5,6,16,31,36",failure
504,11,6,0,"5,30,28,13,33","7,10,18,34,35,39",failure
