w_C,w_F,w_E,w_G,precision@5
0.0,0.0,0.0,1.0,0.101
0.0,0.0,0.25,0.75,0.107
0.0,0.0,0.5,0.5,0.114
0.0,0.0,0.75,0.25,0.095
0.0,0.0,1.0,0.0,0.098
0.0,0.25,0.0,0.75,0.12
0.0,0.25,0.25,0.5,0.107
0.0,0.25,0.5,0.25,0.098
0.0,0.25,0.75,0.0,0.114
0.0,0.5,0.0,0.5,0.108
0.0,0.5,0.25,0.25,0.11
0.0,0.5,0.5,0.0,0.126
0.0,0.75,0.0,0.25,0.103
0.0,0.75,0.25,0.0,0.108
0.0,1.0,0.0,0.0,0.108
0.25,0.0,0.0,0.75,0.108
0.25,0.0,0.25,0.5,0.11
0.25,0.0,0.5,0.25,0.099
0.25,0.0,0.75,0.0,0.086
0.25,0.25,0.0,0.5,0.107
0.25,0.25,0.25,0.25,0.1
0.25,0.25,0.5,0.0,0.1
0.25,0.5,0.0,0.25,0.108
0.25,0.5,0.25,0.0,0.127
0.25,0.75,0.0,0.0,0.112
0.5,0.0,0.0,0.5,0.119
0.5,0.0,0.25,0.25,0.096
0.5,0.0,0.5,0.0,0.094
0.5,0.25,0.0,0.25,0.101
0.5,0.25,0.25,0.0,0.097
0.5,0.5,0.0,0.0,0.115
0.75,0.0,0.0,0.25,0.11
0.75,0.0,0.25,0.0,0.11
0.75,0.25,0.0,0.0,0.112
1.0,0.0,0.0,0.0,0.106
0.35,0.45,0.2,0.0,0.109
