product_id,product_name,category,classification,nutriscore,calories_100g,proteins_100g,carbs_100g,doc,nutri_ord
4605,Yellow Onions,4,Purchase,A,30.0,0.68,7.43,yellow onions category_4 class_purchase,0.0
4920,Seedless Red Grapes,4,Purchase,B,71.0,1.18,17.6,seedless red grapes category_4 class_purchase,1.0
5077,100% Whole Wheat Bread,3,Consumption,C,256.0,11.6,48.8,100% whole wheat bread category_3 class_consumption,2.0
5876,Organic Lemon,4,Purchase,D,300.0,0.0,6.67,organic lemon category_4 class_purchase,3.0
8277,Apple Honeycrisp Organic,4,Purchase,Falta Dato,,0.102,14.7,apple honeycrisp organic category_4 class_purchase,
8518,Organic Red Onion,4,Purchase,A,30.0,0.68,6.76,organic red onion category_4 class_purchase,0.0
9076,Blueberries,1,Consumption,B,57.0,0.71,12.1,blueberries category_1 class_consumption,1.0
10749,Organic Red Bell Pepper,4,Purchase,Falta Dato,,0.896,6.65,organic red bell pepper category_4 class_purchase,
13176,Bag of Organic Bananas,4,Purchase,D,346.0,3.89,88.3,bag of organic bananas category_4 class_purchase,3.0
16797,Strawberries,4,Purchase,A,36.0,0.71,9.29,strawberries category_4 class_purchase,0.0
17794,Carrots,4,Purchase,A,38.0,1.28,8.97,carrots category_4 class_purchase,0.0
19057,Organic Large Extra Fancy Fuji Apple,4,Purchase,Falta Dato,,0.148,15.7,organic large extra fancy fuji apple category_4 class_purchase,
19660,Spring Water,7,Consumption,A,0.0,0.0,0.0,spring water category_7 class_consumption,0.0
21137,Organic Strawberries,4,Purchase,A,36.0,0.71,9.29,organic strawberries category_4 class_purchase,0.0
21616,Organic Baby Arugula,4,Purchase,A,25.0,2.82,3.52,organic baby arugula category_4 class_purchase,0.0
21903,Organic Baby Spinach,4,Purchase,A,23.0,2.6799999999999997,3.36,organic baby spinach category_4 class_purchase,0.0
22035,Organic Whole String Cheese,16,Purchase,B,50.0,1.45,6.25,organic whole string cheese category_16 class_purchase,1.0
22935,Organic Yellow Onion,4,Purchase,A,30.0,0.68,7.43,organic yellow onion category_4 class_purchase,0.0
24852,Banana,4,Purchase,D,312.0,12.5,40.6,banana category_4 class_purchase,3.0
24964,Organic Garlic,4,Purchase,C,167.0,0.0,33.3,organic garlic category_4 class_purchase,2.0
26209,Limes,4,Purchase,A,30.0,0.0,10.4,limes category_4 class_purchase,0.0
26604,Organic Blackberries,4,Purchase,B,59.0,1.47,15.4,organic blackberries category_4 class_purchase,1.0
27086,Half & Half,16,Purchase,B,131.0,3.13,4.3,half & half category_16 class_purchase,1.0
27104,Fresh Cauliflower,4,Purchase,B,52.0,1.94,5.01,fresh cauliflower category_4 class_purchase,1.0
27845,Organic Whole Milk,16,Purchase,B,62.0,3.39,5.08,organic whole milk category_16 class_purchase,1.0
27966,Organic Raspberries,4,Purchase,B,50.0,1.43,12.1,organic raspberries category_4 class_purchase,1.0
28204,Organic Fuji Apple,4,Purchase,D,400.0,0.0,90.0,organic fuji apple category_4 class_purchase,3.0
28985,Michigan Organic Kale,4,Purchase,A,35.0,2.92,4.42,michigan organic kale category_4 class_purchase,0.0
30391,Organic Cucumber,4,Purchase,A,34.0,0.5,6.79,organic cucumber category_4 class_purchase,0.0
30489,Original Hummus,20,Consumption,C,214.0,7.14,14.3,original hummus category_20 class_consumption,2.0
31717,Organic Cilantro,4,Purchase,A,0.0,0.0,0.0,organic cilantro category_4 class_purchase,0.0
34126,Organic Italian Parsley Bunch,4,Purchase,D,392.0,7.43,76.25,organic italian parsley bunch category_4 class_purchase,3.0
35951,Organic Unsweetened Almond Milk,16,Consumption,A,15.0,0.55,0.34,organic unsweetened almond milk category_16 class_consumption,0.0
37646,Organic Gala Apples,4,Purchase,B,52.0,0.32,14.3,organic gala apples category_4 class_purchase,1.0
39275,Organic Blueberries,4,Purchase,B,57.0,0.71,12.1,organic blueberries category_4 class_purchase,1.0
39877,Organic Granny Smith Apple,4,Purchase,Falta Dato,,0.266,14.1,organic granny smith apple category_4 class_purchase,
40706,Organic Grape Tomatoes,4,Purchase,A,36.0,1.19,7.14,organic grape tomatoes category_4 class_purchase,0.0
41950,Organic Tomato Cluster,4,Purchase,A,28.0,2.98,5.06,organic tomato cluster category_4 class_purchase,0.0
42265,Organic Baby Carrots,4,Purchase,A,35.0,1.18,8.24,organic baby carrots category_4 class_purchase,0.0
43352,Raspberries,4,Purchase,B,50.0,1.43,12.1,raspberries category_4 class_purchase,1.0
44359,Organic Small Bunch Celery,4,Purchase,D,392.0,7.43,76.25,organic small bunch celery category_4 class_purchase,3.0
44632,Sparkling Water Grapefruit,7,Consumption,A,0.0,0.0,0.0,sparkling water grapefruit category_7 class_consumption,0.0
45007,Organic Zucchini,4,Purchase,A,21.0,1.05,4.21,organic zucchini category_4 class_purchase,0.0
45066,Honeycrisp Apple,4,Purchase,A,2.0,0.0,3.81,honeycrisp apple category_4 class_purchase,0.0
46979,Asparagus,4,Purchase,A,18.0,2.35,3.53,asparagus category_4 class_purchase,0.0
47209,Organic Hass Avocado,4,Purchase,Falta Dato,,1.81,8.32,organic hass avocado category_4 class_purchase,
47626,Large Lemon,4,Purchase,B,55.0,10.7,2.36,large lemon category_4 class_purchase,1.0
47766,Organic Avocado,4,Purchase,D,427.0,1.9,7.36,organic avocado category_4 class_purchase,3.0
49235,Organic Half & Half,16,Purchase,B,131.0,3.13,4.3,organic half & half category_16 class_purchase,1.0
49683,Cucumber Kirby,4,Purchase,A,34.0,0.5,6.79,cucumber kirby category_4 class_purchase,0.0
